Start_Date,Historical_Price,GBM_Mean_Price_Sigma,GBM_Mean_Price_EMcorrection_Sigma,CIR_Mean_Price_Sigma,GBM_Mean_Price_VolIndex,GBM_Mean_Price_EMcorrection_VolIndex,CIR_Mean_Price_VolIndex,Heston_Mean_Price_Sigma,Heston_Mean_Price_VolIndex
2023-09-01,1008.3,1078.5720432063722,1078.4774257682154,1046.9375066373268,1078.960684986323,1078.9598756517878,1061.028299582861,126.56447432986828,123.34276836946918
2023-09-04,992.0,1078.7042886760994,1078.6220228709758,1045.6274963826656,1079.2061530023002,1079.179228699961,1061.1080979902745,126.77563547990545,123.35309526112276
2023-09-05,992.6,1078.0260777200372,1077.982469847828,1046.3857570739754,1078.5252595653742,1078.5045955601518,1061.1436648033537,126.70926794307742,123.34466069008003
2023-09-06,989.9,1077.7815334829734,1077.743556007903,1045.129064964205,1078.4353666364334,1078.4285269538882,1065.7169630086698,126.791149038885,123.3722074219201
2023-09-07,989.3000000000001,1078.1268898569824,1078.0579118709356,1045.6593225543484,1078.889360451174,1078.882437809326,1068.93711120054,126.82976382214764,123.51792716237132
2023-09-08,990.1999999999999,1078.4347393142252,1078.39332850664,1047.1544462509746,1079.0675715166058,1079.0671142081817,1067.645287633985,127.01262223166728,123.4662617337148
2023-09-11,992.0,1078.5142153399038,1078.4705704206683,1047.5946586076109,1079.1734754602785,1079.160281353371,1069.2737467934537,127.17565152558984,123.54112556510393
2023-09-12,991.5999999999999,1078.8233244921223,1078.7585978159236,1046.808447490674,1079.5147792652374,1079.5016883524554,1069.8850648733446,127.41484396802689,123.69935078632318
2023-09-13,990.8,1079.1384137890925,1079.0754745201968,1047.2236091827317,1079.8554114538945,1079.8554114538945,1073.2026736662715,127.45923955730376,123.76698944787312
2023-09-14,994.5,1079.0854831421686,1079.0548844755174,1052.628993375582,1079.5592413573377,1079.5591416149557,1075.0902914653625,127.59364136798588,123.85200045251972
2023-09-15,995.3,1078.8378605794242,1078.7561183931527,1053.3083225990742,1079.285364362721,1079.2853112831388,1073.916429758341,127.50905919949602,123.7746484511122
2023-09-18,993.0,1079.1933929628783,1079.0999931693036,1050.967740423661,1079.749260802954,1079.7491018912865,1072.0747051630765,127.72439971531124,123.77634314125024
2023-09-19,993.6,1078.8142106137564,1078.7465944822395,1050.343397950927,1079.3865755400116,1079.3865201757717,1072.6316416559418,127.91387165828412,123.8222382430814
2023-09-20,995.3,1079.2097429555054,1079.120435847842,1052.3783604650796,1079.6978316111365,1079.697678692632,1071.4891815059289,128.0216418092069,123.84350135364232
2023-09-21,993.1,1077.7884845205124,1077.7323818985972,1048.4433795619846,1078.4156445417718,1078.4152764744638,1069.0703699791884,127.74087696666292,123.80837828569716
2023-09-22,990.4000000000001,1078.2321082262076,1078.1629334292377,1048.2437727931972,1078.9085579761315,1078.873892501065,1063.541843378334,127.96148590923232,123.90509810461988
2023-09-25,992.0,1077.6697597005589,1077.6055175997933,1047.7431982969872,1078.1586109292198,1078.1255823802708,1058.4977127914335,128.15587829901943,123.95063237590588
2023-09-26,989.3000000000001,1077.568764843911,1077.485340922347,1045.0392509477922,1078.129386137905,1078.093047784398,1058.3683009942115,128.11555891104678,123.91239589160142
2023-09-27,992.5,1077.3182393872369,1077.1982799067175,1047.1383540696772,1077.9466333156092,1077.9256128488544,1062.2350106460624,128.1321161711622,123.97414234281268
2023-09-28,993.9,1077.5632884584445,1077.4716160094556,1047.9908858920176,1078.3628889286392,1078.3433617905534,1067.1748517917415,128.54439703704432,123.99949950932942
2023-09-29,997.0,1077.8292192624965,1077.7685759078372,1049.1611794046853,1078.35039157971,1078.3424217805623,1059.4941187376269,128.61378025542032,124.17385357771226
2023-10-02,995.1,1077.354248705037,1077.2580334653644,1048.1238115960746,1077.6385832250494,1077.6147220938851,1055.17159414871,128.6871387586688,124.12929246816486
2023-10-03,992.5,1051.072705785635,1050.9037144067097,1019.115947329934,1051.5253394335348,1051.423541037861,1026.9674166240252,103.78104186539814,99.00474355311025
2023-10-04,990.8,1051.7813567397764,1051.6001360120856,1019.8196050831104,1052.5285541431217,1052.4419901969652,1030.0031247576342,104.05016039529906,99.05334604205952
2023-10-05,991.5999999999999,1052.011543645396,1051.8544517138005,1020.4460050761892,1052.903254227596,1052.875985579508,1036.0846107248517,104.05907349933752,99.2160629547366
2023-10-06,991.3,1051.647328250558,1051.498572607041,1022.334385869628,1052.185898822852,1052.0776545800425,1030.7308238989865,104.13837280303922,99.25421136787028
2023-10-09,993.1,1052.0416527945342,1051.888603287393,1020.3784453375482,1052.8410855671077,1052.8004998081776,1036.8386587045952,104.34204105772297,99.29054375316782
2023-10-10,999.0999999999999,1053.6449878834417,1053.5910571898671,1027.0435532077786,1054.265138387767,1054.2516314717857,1043.98276860437,104.534984038872,99.51488773280349
2023-10-11,999.7,1054.6235235103356,1054.5293273368904,1027.8534639921963,1055.1448504783914,1055.1380435647368,1045.7504463933496,104.85213173092468,99.49155116272006
2023-10-12,1000.3,1053.6341105748832,1053.5382925390004,1028.4618239671108,1053.906131356683,1053.8648192829148,1036.6899257908287,104.96123667002584,99.50840581725475
2023-10-13,996.3,1054.2651634476813,1054.1580200584835,1026.0840306126756,1054.683299277703,1054.6419946513702,1036.8657686196382,105.06222214007248,99.55859408032308
2023-10-16,996.9,1053.7114457475548,1053.525091115594,1026.246242239415,1054.3238380567354,1054.252137675068,1036.0826929846426,105.39697062013636,99.61952511900944
