Start_Date,av_data
2023-09-01,1078.8070366223553
2023-09-04,1079.372159045333
2023-09-05,1078.594127493929
2023-09-06,1078.4052206583603
2023-09-07,1078.9099220996354
2023-09-08,1079.0679815371107
2023-09-11,1079.199765097843
2023-09-12,1079.5280854642535
2023-09-13,1079.8554114538945
2023-09-14,1079.5724220559782
2023-09-15,1079.2919367875436
2023-09-18,1079.7683669270477
2023-09-19,1079.3933478997274
2023-09-20,1079.7192976207311
2023-09-21,1078.454484455822
2023-09-22,1078.9747934668708
2023-09-25,1078.3852899528024
2023-09-26,1078.3188464245834
2023-09-27,1078.027980394647
2023-09-28,1078.3910900919186
2023-09-29,1078.4235714586182
2023-10-02,1077.9270457629827
2023-10-03,1051.7831118726217
2023-10-04,1052.8484956897119
2023-10-05,1053.0086276494528
2023-10-06,1052.5748191696882
2023-10-09,1053.045771999106
2023-10-10,1054.3048151663256
2023-10-11,1055.185215641673
2023-10-12,1054.1610147222857
2023-10-13,1054.9454639200974
2023-10-16,1054.6336399734557
2023-10-17,1053.627340651663
2023-10-18,1053.0070432697125
2023-10-19,1052.4452774564463
2023-10-20,1053.031341280225
2023-10-23,1054.1189252088825
2023-10-24,1054.5549578145867
2023-10-25,1053.648275051381
2023-10-26,1054.5556102743922
2023-10-27,1054.905439283348
2023-10-30,1054.9962384468001
2023-10-31,1055.133965354264
2023-11-01,1056.236476903243
2023-11-02,1057.247399655096
2023-11-03,1058.2546060242728
2023-11-06,1057.776356746597
2023-11-07,1058.6864727155385
2023-11-08,1059.593059895333
2023-11-09,1058.6025605418256
2023-11-10,1058.8192003918232
2023-11-13,1059.0418234039075
2023-11-14,1060.7823549046404
2023-11-15,1060.148098000614
2023-11-16,1060.9506011584397
2023-11-17,1061.161187729753
2023-11-20,1061.7066405383343
2023-11-21,1061.9154515827636
2023-11-22,1061.9582863479368
2023-11-23,1062.0841316187712
2023-11-24,1061.799263271259
2023-11-27,1062.8318493620159
2023-11-28,1063.3628770391788
2023-11-29,1064.053642380551
2023-11-30,1063.3684751084097
2023-12-01,1064.700169880971
2023-12-04,1064.5836054816357
2023-12-05,1065.5006432619048
2023-12-06,1066.0960980937014
2023-12-07,1066.0558818523277
2023-12-08,1065.4658236852104
2023-12-11,1065.828696804443
2023-12-12,1066.1824856907367
2023-12-13,1067.54195612156
2023-12-14,1068.5862139529895
2023-12-15,1068.775971172998
2023-12-18,1068.8075933502498
2023-12-19,1069.0731447961757
2023-12-20,1069.7169140556382
2023-12-21,1069.6011518066864
2023-12-22,1069.6377007179185
2023-12-25,1069.9741067104185
2023-12-26,1070.1604570620968
2023-12-27,1071.0122063061303
2023-12-28,1070.7526588510793
2023-12-29,1070.569560830238
2024-01-01,1070.9045654197455
