Date;ISIN;Indexvalue
01.09.1999;CH0023524637;19.1474
02.09.1999;CH0023524637;19.1692
03.09.1999;CH0023524637;19.1291
06.09.1999;CH0023524637;19.1067
07.09.1999;CH0023524637;18.9455
08.09.1999;CH0023524637;18.9474
09.09.1999;CH0023524637;18.7739
10.09.1999;CH0023524637;18.5597
13.09.1999;CH0023524637;18.634
14.09.1999;CH0023524637;18.5679
15.09.1999;CH0023524637;18.643
16.09.1999;CH0023524637;18.6594
17.09.1999;CH0023524637;18.8117
20.09.1999;CH0023524637;18.8335
21.09.1999;CH0023524637;18.8322
22.09.1999;CH0023524637;18.8381
23.09.1999;CH0023524637;18.8379
24.09.1999;CH0023524637;18.8781
27.09.1999;CH0023524637;18.8684
28.09.1999;CH0023524637;18.8922
29.09.1999;CH0023524637;18.9528
30.09.1999;CH0023524637;18.9968
01.10.1999;CH0023524637;19.0029
04.10.1999;CH0023524637;19.1333
05.10.1999;CH0023524637;19.1419
06.10.1999;CH0023524637;19.096
07.10.1999;CH0023524637;19.0152
08.10.1999;CH0023524637;18.9052
11.10.1999;CH0023524637;18.8006
12.10.1999;CH0023524637;18.8126
13.10.1999;CH0023524637;19.6812
14.10.1999;CH0023524637;19.7293
15.10.1999;CH0023524637;20.0314
18.10.1999;CH0023524637;17.1407
19.10.1999;CH0023524637;17.0421
20.10.1999;CH0023524637;16.9849
21.10.1999;CH0023524637;17.002
22.10.1999;CH0023524637;16.9662
25.10.1999;CH0023524637;16.984
26.10.1999;CH0023524637;16.9661
27.10.1999;CH0023524637;16.9655
28.10.1999;CH0023524637;16.7759
29.10.1999;CH0023524637;16.5886
01.11.1999;CH0023524637;16.5995
02.11.1999;CH0023524637;16.5451
03.11.1999;CH0023524637;16.4469
04.11.1999;CH0023524637;16.1388
05.11.1999;CH0023524637;16.9791
08.11.1999;CH0023524637;16.9369
09.11.1999;CH0023524637;16.9217
10.11.1999;CH0023524637;17.0995
11.11.1999;CH0023524637;16.8453
12.11.1999;CH0023524637;18.6052
15.11.1999;CH0023524637;18.8025
16.11.1999;CH0023524637;18.7896
17.11.1999;CH0023524637;18.8325
18.11.1999;CH0023524637;18.8247
19.11.1999;CH0023524637;18.8573
